년도,지역,65세 이상합계,병/의원,치과,,노인 1000명당 병원수,노인 1000명당 치과수
2019,완산구,50917,293,156,,5.754463146,3.06380973
2019,덕진구,42244,221,116,,5.231512167,2.745952088
2019,군산시,48059,167,77,,3.474895441,1.602197299
2019,익산시,53525,183,96,,3.418963101,1.793554414
2019,정읍시,29490,81,34,,2.746693795,1.152933198
2019,남원시,22050,61,21,,2.766439909,0.952380952
2019,김제시,25650,59,19,,2.300194932,0.740740741
2019,완주군,20438,54,18,,2.642137195,0.880712398
2019,진안군,8613,13,4,,1.509346337,0.464414258
2019,무주군,7891,12,5,,1.520719807,0.633633253
2019,장수군,7304,8,5,,1.095290252,0.684556407
2019,임실군,9830,17,6,,1.729399797,0.610376399
2019,순창군,9312,18,6,,1.932989691,0.644329897
2019,고창군,18370,33,13,,1.796407186,0.707675558
2019,부안군,16983,32,15,,1.884237178,0.883236177
2020,완산구,53907,300, 159 ,,5.565139963,2.949524181
2020,덕진구,44655,221, 118 ,,4.949053857,2.642481245
2020,군산시,50700,169, 76 ,,3.333333333,1.499013807
2020,익산시,56167,179, 96 ,,3.186924707,1.70918867
2020,정읍시,30258,82, 34 ,,2.7100271,1.123669773
2020,남원시,22694,62, 22 ,,2.731999647,0.96941923
2020,김제시,26322,61,19,,2.317453081,0.721829648
2020,완주군,21410,54,18,,2.522185894,0.840728631
2020,진안군,8898,13,4,,1.461002472,0.449539222
2020,무주군,8075,11,5,,1.362229102,0.619195046
2020,장수군,7557,8,5,,1.058621146,0.661638216
2020,임실군,9952,16,6,,1.607717042,0.602893891
2020,순창군,9455,18,6,,1.903754627,0.634584876
2020,고창군,18782,33,12,,1.757001384,0.638909594
2020,부안군,17371,31,15,,1.784583501,0.863508146
2021,완산구,56111,305,158,,5.435654328,2.81584716
2021,덕진구,46874,227,120,,4.842769979,2.560054614
2021,군산시,52714,169,76,,3.205979436,1.441742232
2021,익산시,58099,179,94,,3.080948037,1.617928019
2021,정읍시,30561,81,34,,2.650436831,1.11252904
2021,남원시,23223,59,21,,2.540584765,0.904275933
2021,김제시,26783,57,19,,2.128215659,0.70940522
2021,완주군,22195,51,19,,2.297814823,0.85604866
2021,진안군,9053,12,4,,1.325527449,0.441842483
2021,무주군,8153,11,5,,1.349196615,0.613271189
2021,장수군,7716,8,5,,1.036806636,0.648004147
2021,임실군,10105,16,6,,1.583374567,0.593765463
2021,순창군,9481,18,6,,1.89853391,0.632844637
2021,고창군,19042,33,13,,1.733011238,0.682701397
2021,부안군,17509,30,15,,1.713404535,0.856702267
2022,완산구,58580,317,160,,5.411403209,2.731307614
2022,덕진구,48777,234,124,,4.79734301,2.542181766
2022,군산시,54997,172,77,,3.127443315,1.400076368
2022,익산시,60045,181,91,,3.014405862,1.515530019
2022,정읍시,31356,78,34,,2.487562189,1.08432198
2022,남원시,23691,59,21,,2.490397197,0.886412562
2022,김제시,27495,57,19,,2.073104201,0.691034734
2022,완주군,22950,50,18,,2.178649237,0.784313725
2022,진안군,9260,12,4,,1.295896328,0.431965443
2022,무주군,8393,11,5,,1.31061599,0.595734541
2022,장수군,7852,8,5,,1.018848701,0.636780438
2022,임실군,10270,15,6,,1.460564752,0.584225901
2022,순창군,9647,16,6,,1.658546698,0.621955012
2022,고창군,19364,32,13,,1.652551126,0.671348895
2022,부안군,17942,29,15,,1.616319251,0.836027199
2023,완산구,61027,324,162,,5.309125469,2.654562735
2023,덕진구,50590,240,124,,4.744020557,2.451077288
2023,군산시,57042,174,78,,3.050383928,1.367413485
2023,익산시,62046,184,93,,2.965541695,1.498887922
2023,정읍시,31905,77,34,,2.413414825,1.065663689
2023,남원시,24126,57,22,,2.362596369,0.9118793
2023,김제시,27950,56,18,,2.003577818,0.644007156
2023,완주군,24192,55,21,,2.273478836,0.868055556
2023,진안군,9433,12,5,,1.272129757,0.530054066
2023,무주군,8554,11,5,,1.285948094,0.584521861
2023,장수군,8030,7,5,,0.871731009,0.622665006
2023,임실군,10357,15,6,,1.448295839,0.579318335
2023,순창군,9779,17,6,,1.738419061,0.613559669
2023,고창군,19839,31,12,,1.562578759,0.604869197
2023,부안군,18258,29,16,,1.588344835,0.876328185
2015,완산구,43957, 291 ,145,, 6.62 ,3.298678254
2015,덕진구,34991, 191 ,99,, 5.46 ,2.829298963
2015,군산시,41317, 163 ,70,, 3.95 ,1.694217876
2015,익산시,47026, 171 ,89,, 3.64 ,1.892570068
2015,정읍시,27944, 79 ,31,, 2.83 ,1.10936158
2015,남원시,20468, 61 ,20,, 2.98 ,0.97713504
2015,김제시,24524, 62 ,18,, 2.53 ,0.733974882
2015,완주군,18326, 50 ,16,, 2.73 ,0.873076503
2015,진안군,8110, 14 ,4,, 1.73 ,0.493218249
2015,무주군,7441, 13 ,5,, 1.75 ,0.671952695
2015,장수군,6832, 8 ,4,, 1.17 ,0.585480094
2015,임실군,9529, 15 ,5,, 1.57 ,0.524714031
2015,순창군,9184, 18 ,5,, 1.96 ,0.544425087
2015,고창군,17656, 34 ,12,, 1.93 ,0.679655641
2015,부안군,16219, 33 ,14,, 2.03 ,0.863185153
